latitude,longitude,growth_stage,pH,N,P,K,NDVI,NDRE
11.2641,78.2197,Bulking,5.8,153,68,136,0.75,0.55
11.3302,78.2202,Vegetative,5.9,61,46,67,0.43,0.37
11.2575,78.1859,Vegetative,5.6,89,35,68,0.39,0.35
11.3487,78.1794,Tuber Initiation,5.8,103,40,77,0.56,0.38
11.3272,78.2309,Vegetative,6.1,88,36,52,0.37,0.23
11.2699,78.231,Bulking,5.9,171,59,99,0.62,0.4
11.2506,78.2367,Bulking,5.7,158,63,123,0.64,0.56
11.3315,78.2413,Vegetative,5.7,92,47,56,0.47,0.41
11.3207,78.2011,Vegetative,6.4,88,37,50,0.52,0.41
11.3229,78.2002,Tuber Initiation,5.9,102,47,91,0.54,0.5
11.3271,78.2298,Bulking,6.2,196,64,126,0.78,0.69
11.2574,78.215,Bulking,6.5,142,68,122,0.58,0.48
11.2858,78.2202,Vegetative,6.9,87,44,57,0.56,0.52
11.2616,78.2296,Tuber Initiation,5.6,133,42,93,0.58,0.41
11.3363,78.239,Bulking,7.1,153,73,135,0.65,0.44
11.3123,78.1838,Bulking,6.8,182,65,93,0.68,0.5
11.2831,78.1876,Tuber Initiation,5.7,136,53,92,0.67,0.45
11.2564,78.1594,Tuber Initiation,7.2,117,46,79,0.59,0.48
11.2811,78.2078,Bulking,7.3,146,50,112,0.58,0.55
11.2825,78.1536,Bulking,5.6,160,68,137,0.6,0.39
11.323,78.1966,Tuber Initiation,6.1,118,43,98,0.59,0.4
11.3138,78.2043,Bulking,7.1,199,67,91,0.83,0.65
11.3387,78.1787,Vegetative,7.0,60,44,54,0.33,0.35
11.2972,78.2091,Vegetative,5.9,79,40,59,0.53,0.39
11.262,78.1531,Tuber Initiation,5.9,101,42,92,0.43,0.35
11.3213,78.1537,Tuber Initiation,6.2,111,59,74,0.52,0.32
11.3261,78.2323,Tuber Initiation,6.5,136,45,99,0.7,0.49
11.3061,78.186,Vegetative,6.7,68,31,70,0.39,0.41
11.3271,78.1627,Bulking,6.2,183,52,111,0.78,0.72
11.2994,78.2022,Vegetative,6.4,83,46,59,0.43,0.24
11.3023,78.227,Bulking,7.0,169,73,135,0.66,0.62
11.2928,78.1716,Vegetative,5.6,82,46,67,0.54,0.46
11.2525,78.2123,Bulking,6.0,190,66,103,0.75,0.67
11.2608,78.1585,Vegetative,6.9,68,37,51,0.48,0.37
11.2531,78.1552,Tuber Initiation,7.3,124,46,78,0.52,0.42
11.3136,78.2031,Vegetative,6.5,81,40,63,0.39,0.31
11.2814,78.2041,Bulking,6.6,143,75,118,0.54,0.47
11.3009,78.2137,Vegetative,5.7,93,34,60,0.51,0.34
11.3408,78.2226,Vegetative,6.4,65,47,70,0.37,0.2
11.2749,78.2476,Vegetative,6.6,95,38,55,0.56,0.41
11.291,78.2016,Tuber Initiation,6.0,133,56,74,0.59,0.51
11.3256,78.1823,Vegetative,6.0,84,35,75,0.55,0.38
11.2729,78.2295,Tuber Initiation,6.3,111,49,91,0.47,0.41
11.2577,78.1771,Tuber Initiation,5.5,120,45,96,0.63,0.6
11.279,78.1939,Vegetative,6.1,99,31,61,0.55,0.36
11.2661,78.1578,Vegetative,5.9,66,39,62,0.45,0.39
11.343,78.1525,Vegetative,6.2,76,43,51,0.5,0.39
11.3308,78.2463,Bulking,5.7,199,71,132,0.85,0.75
11.3133,78.2336,Vegetative,7.3,60,48,70,0.41,0.26
11.3371,78.2196,Tuber Initiation,6.7,135,58,95,0.53,0.46
11.3304,78.1909,Vegetative,6.9,88,40,57,0.37,0.36
11.2687,78.1673,Bulking,7.1,150,53,138,0.73,0.67
11.3393,78.1656,Vegetative,6.5,98,37,52,0.52,0.45
11.3039,78.175,Bulking,5.7,193,51,136,0.84,0.67
11.3307,78.2049,Bulking,6.6,163,71,111,0.69,0.58
11.3396,78.2215,Vegetative,6.7,64,30,75,0.32,0.33
11.2818,78.216,Tuber Initiation,7.0,135,54,89,0.53,0.44
11.261,78.178,Bulking,6.4,158,52,132,0.71,0.47
11.2728,78.2455,Vegetative,5.8,76,42,60,0.41,0.41
11.2927,78.2238,Vegetative,6.1,93,38,75,0.42,0.37
11.3318,78.2054,Tuber Initiation,6.2,101,48,78,0.5,0.44
11.3361,78.2112,Bulking,6.8,179,66,90,0.65,0.46
11.2507,78.192,Bulking,6.6,164,78,132,0.71,0.6
11.3011,78.1748,Vegetative,6.2,99,39,74,0.45,0.34
11.2917,78.1856,Vegetative,7.5,98,32,52,0.55,0.47
11.2722,78.2258,Tuber Initiation,6.7,136,51,81,0.57,0.38
11.262,78.1514,Tuber Initiation,6.0,129,45,71,0.58,0.5
11.2838,78.1616,Bulking,5.7,151,68,126,0.56,0.55
11.3443,78.1546,Bulking,5.8,183,76,138,0.66,0.44
11.2823,78.1541,Vegetative,6.0,76,39,74,0.41,0.42
11.3019,78.2355,Bulking,5.8,194,66,136,0.78,0.61
11.3203,78.2204,Tuber Initiation,5.9,111,55,93,0.55,0.51
11.2864,78.1974,Tuber Initiation,6.1,118,47,90,0.51,0.46
11.3472,78.1598,Vegetative,5.8,76,34,71,0.47,0.39
11.3462,78.1992,Tuber Initiation,7.3,115,45,77,0.62,0.54
11.2752,78.1973,Tuber Initiation,5.7,124,57,94,0.63,0.58
11.2997,78.1673,Tuber Initiation,6.5,111,54,96,0.44,0.33
11.2801,78.1934,Tuber Initiation,6.3,125,48,82,0.57,0.42
11.2785,78.1899,Vegetative,7.5,85,44,59,0.38,0.34
11.2537,78.2116,Vegetative,5.7,75,36,66,0.37,0.36
11.311,78.2135,Bulking,6.3,162,75,110,0.78,0.68
11.3003,78.1545,Tuber Initiation,7.4,121,46,83,0.49,0.45
11.2551,78.1875,Bulking,7.2,154,70,96,0.66,0.52
11.2779,78.2126,Vegetative,7.1,68,48,65,0.43,0.41
11.3408,78.2003,Vegetative,6.0,67,47,76,0.44,0.28
11.274,78.2356,Vegetative,5.8,82,47,79,0.46,0.38
11.2645,78.2159,Vegetative,6.8,98,32,67,0.4,0.22
11.2989,78.1663,Vegetative,7.4,98,46,63,0.46,0.33
11.3486,78.1571,Vegetative,6.6,90,32,61,0.47,0.35
11.2742,78.2142,Vegetative,6.6,93,32,54,0.4,0.3
11.3172,78.1527,Tuber Initiation,6.1,139,51,76,0.59,0.51
11.3262,78.2086,Bulking,7.0,154,73,138,0.57,0.43
11.2738,78.244,Vegetative,5.9,63,42,67,0.3,0.23
11.3228,78.2075,Tuber Initiation,6.1,132,55,82,0.58,0.41
11.2868,78.1888,Tuber Initiation,6.4,101,42,79,0.43,0.32
11.3132,78.2143,Bulking,6.5,173,79,102,0.73,0.53
11.3134,78.1958,Vegetative,6.0,72,47,52,0.45,0.27
11.3036,78.2046,Bulking,5.7,198,56,135,0.85,0.7
11.259,78.2441,Vegetative,6.7,88,46,78,0.4,0.35
11.3335,78.1886,Tuber Initiation,6.1,115,51,84,0.48,0.41
11.2821,78.2461,Tuber Initiation,6.7,109,46,89,0.45,0.35
11.2687,78.2405,Tuber Initiation,5.8,104,40,99,0.54,0.41
11.2541,78.1696,Tuber Initiation,6.5,102,52,83,0.55,0.51
11.3091,78.1569,Bulking,6.6,195,79,139,0.69,0.56
11.3178,78.1601,Vegetative,5.6,63,47,79,0.48,0.38
11.2517,78.1518,Vegetative,6.2,96,45,50,0.4,0.23
11.3012,78.1594,Bulking,5.8,192,63,104,0.78,0.59
11.2726,78.2183,Vegetative,5.6,68,44,66,0.45,0.34
11.3145,78.1571,Tuber Initiation,7.5,123,43,81,0.64,0.49
11.2674,78.1819,Vegetative,6.1,96,34,60,0.53,0.44
11.3191,78.2345,Tuber Initiation,7.1,105,46,93,0.58,0.47
11.2887,78.1523,Bulking,6.0,185,73,100,0.72,0.6
11.3437,78.2314,Vegetative,6.9,72,31,74,0.48,0.44
11.2638,78.1782,Bulking,7.0,146,69,93,0.55,0.5
11.2841,78.1618,Vegetative,6.7,67,49,78,0.48,0.43
11.2613,78.2197,Tuber Initiation,6.4,109,50,71,0.54,0.52
11.3425,78.2129,Bulking,6.3,196,75,130,0.85,0.58
11.3377,78.2377,Vegetative,6.2,62,35,54,0.38,0.24
11.2758,78.2235,Tuber Initiation,7.4,104,54,92,0.54,0.33
11.316,78.2303,Bulking,7.2,188,58,124,0.77,0.65
11.3317,78.1782,Bulking,7.4,159,75,138,0.72,0.66
11.3055,78.1677,Vegetative,5.7,94,47,67,0.4,0.27
11.303,78.2251,Vegetative,7.0,76,32,52,0.34,0.36
11.2742,78.2307,Vegetative,7.4,97,42,73,0.44,0.26
11.2593,78.2491,Tuber Initiation,5.9,124,48,73,0.5,0.49
11.3397,78.1913,Vegetative,5.6,73,34,51,0.49,0.36
11.34,78.1872,Bulking,7.0,150,58,92,0.59,0.39
11.3133,78.2276,Bulking,6.6,198,77,118,0.89,0.71
11.2839,78.1841,Vegetative,7.2,68,32,74,0.37,0.25
11.2849,78.2431,Vegetative,5.8,93,41,59,0.42,0.29
11.3226,78.2358,Bulking,7.1,148,64,129,0.7,0.52
11.3397,78.1929,Tuber Initiation,5.9,124,44,80,0.6,0.54
11.3387,78.2251,Vegetative,5.8,93,44,55,0.48,0.39
11.328,78.2255,Vegetative,5.8,67,34,65,0.41,0.29
